ID,date_time,lat,lon,depth(km),magnitude,origin
18087451,2018-01-21T102937.83,42.7238,13.2047,10.7,ML1.1,5 km NW Accumoli (RI)
18087511,2018-01-21T103800.19,42.9563,13.0503,8.3,ML1.3,4 km NW Visso (MC)
18087561,2018-01-21T103811.78,42.7818,12.73,7.5,ML2.1,5 km N Spoleto (PG)
18087691,2018-01-21T112705.07,42.5865,13.2042,12.9,ML1.2,5 km SE Cittareale (RI)
18087761,2018-01-21T115500.99,42.9052,12.9683,11,ML1.1,4 km E Sellano (PG)
18087831,2018-01-21T120245.55,42.6072,13.243,10.4,ML0.9,5 km SW Amatrice (RI)
18087881,2018-01-21T120340.74,41.7443,14.2822,18.5,ML1.8,4 km NW Carovilli (IS)
18087971,2018-01-21T121553.82,43.6317,12.3267,9.3,ML1.3,2 km SW Mercatello sul Metauro (PU)
18088041,2018-01-21T124039.18,42.826,13.0105,8.5,ML1.1,6 km SW Preci (PG)
18088151,2018-01-21T130822.62,42.6567,13.3088,7.4,Md0.8,3 km NE Amatrice (RI)
18088241,2018-01-21T133803.56,42.7843,13.1407,9.6,ML1.6,4 km E Norcia (PG)
18088271,2018-01-21T134528.18,41.7417,14.2368,19.8,ML2.3,4 km SW Vastogirardi (IS)
18088411,2018-01-21T145647.26,42.936,13.1868,6.6,ML1.2,4 km E Ussita (MC)
18088481,2018-01-21T153337.11,42.778,13.1997,11.3,ML1.4,8 km W Arquata del Tronto (AP)
18088551,2018-01-21T153559.49,43.063,13.0338,9.8,ML1.1,2 km SW Muccia (MC)
18088741,2018-01-21T155337.51,43.0578,13.0342,10,ML1.2,2 km NW Pieve Torina (MC)
18088891,2018-01-21T161618.37,42.7577,13.1723,11.1,ML1.3,8 km SE Norcia (PG)
18088951,2018-01-21T163734.03,41.7522,14.2802,17.5,ML1.8,3 km SE Vastogirardi (IS)
18089061,2018-01-21T164533.55,46.5118,10.3932,9.4,ML1.1,5 km N Bormio (SO)
18089131,2018-01-21T165856.14,41.9528,13.6097,14.1,ML1.4,3 km W Ortucchio (AQ)
18089171,2018-01-21T170402.06,41.7483,14.2682,19,ML1.8,3 km S Vastogirardi (IS)
18089311,2018-01-21T172050.87,42.8085,13.0987,9.2,Md1.1,2 km N Norcia (PG)
18089331,2018-01-21T174547.58,42.9683,12.8847,11.1,ML1.4,9 km NW Sellano (PG)
18089391,2018-01-21T174904.66,42.7412,13.1843,12,ML1.6,7 km NW Accumoli (RI)
18089431,2018-01-21T175014.63,42.8278,13.0128,10.4,ML1.4,6 km SW Preci (PG)
18089481,2018-01-21T175155.37,42.8082,13.1557,11.9,ML1.7,5 km E Norcia (PG)
18089541,2018-01-21T175711.01,42.8613,13.0963,11.9,ML1.2,5 km E Preci (PG)
18089601,2018-01-21T180650.9,42.6025,13.0792,5.1,ML0.8,7 km W Cittareale (RI)
18089681,2018-01-21T190256.25,42.8135,13.1915,12.2,ML1.4,8 km E Norcia (PG)
18089811,2018-01-21T202615.71,42.7983,13.2055,10.3,ML1.5,8 km W Arquata del Tronto (AP)
18089911,2018-01-21T205052.82,42.6802,13.1897,11.8,ML2.0,5 km W Accumoli (RI)
18089961,2018-01-21T205605.16,43.065,13.0347,10.4,ML1.3,2 km SW Muccia (MC)
18090001,2018-01-21T205903.78,42.78,13.1037,10.7,ML1.5,2 km SE Norcia (PG)
18090151,2018-01-21T213601.15,43.0662,13.0313,8.6,ML1.1,2 km SW Muccia (MC)
18090281,2018-01-21T220051.64,46.5162,10.3932,9.7,ML0.4,5 km N Bormio (SO)
18090311,2018-01-21T222555.8,43.0638,13.0378,10.1,ML0.7,2 km S Muccia (MC)
18090441,2018-01-21T224156.85,42.9867,13.1168,9.7,ML1.0,5 km NW Ussita (MC)
18090511,2018-01-21T232648.26,43.0667,13.0327,9.7,ML0.8,2 km SW Muccia (MC)
18090651,2018-01-22T002707.83,46.304,13.047,8,ML1.0,4 km NW Trasaghis (UD)
18090671,2018-01-22T003158.93,42.9515,13.2418,8.8,ML1.6,5 km S Bolognola (MC)
18090731,2018-01-22T003818.07,46.5125,10.3718,9.3,ML1.0,5 km N Bormio (SO)
18090951,2018-01-22T014309.14,43.1983,11.0308,9.3,ML1.2,7 km NW Chiusdino (SI)
18090921,2018-01-22T014418.58,43.1718,11.0502,8.5,ML1.3,4 km W Chiusdino (SI)
18090991,2018-01-22T014558.5,43.1947,11.0327,9.3,ML1.1,6 km NW Chiusdino (SI)
